problem_id,title,tag,level,representative,problem_id_title
1000,A+B,구현;사칙연산;수학,1,수학,1000 - A+B
1001,A-B,구현;사칙연산;수학,1,수학,1001 - A-B
1002,터렛,많은 조건 분기;기하학;수학,8,수학,1002 - 터렛
1003,피보나치 함수,다이나믹 프로그래밍,8,다이나믹 프로그래밍,1003 - 피보나치 함수
1004,어린 왕자,기하학;수학,8,수학,1004 - 어린 왕자
1005,ACM Craft,dag;다이나믹 프로그래밍;그래프 이론;위상 정렬,13,그래프 이론,1005 - ACM Craft
1006,습격자 초라기,다이나믹 프로그래밍,18,다이나믹 프로그래밍,1006 - 습격자 초라기
1007,벡터 매칭,브루트포스 알고리즘;수학,14,탐색,1007 - 벡터 매칭
1008,A/B,구현;사칙연산;수학,1,수학,1008 - A/B
1009,분산처리,구현;수학,4,수학,1009 - 분산처리
1010,다리 놓기,조합론;다이나믹 프로그래밍;수학,6,수학,1010 - 다리 놓기
1011,Fly me to the Alpha Centauri,수학,11,수학,1011 - Fly me to the Alpha Centauri
1012,유기농 배추,그래프 이론;그래프 탐색;너비 우선 탐색;깊이 우선 탐색,9,그래프 이론,1012 - 유기농 배추
1013,Contact,정규 표현식;문자열,11,문자열,1013 - Contact
1014,컨닝,비트마스킹;다이나믹 프로그래밍;최대 유량;비트필드를 이용한 다이나믹 프로그래밍,17,다이나믹 프로그래밍,1014 - 컨닝
1015,수열 정렬,정렬,7,정렬,1015 - 수열 정렬
1016,제곱 ㄴㄴ 수,수학;정수론;소수 판정;에라토스테네스의 체,15,수학,1016 - 제곱 ㄴㄴ 수
1017,소수 쌍,이분 매칭;수학;정수론;소수 판정;에라토스테네스의 체,18,수학,1017 - 소수 쌍
1018,체스판 다시 칠하기,브루트포스 알고리즘,7,탐색,1018 - 체스판 다시 칠하기
1019,책 페이지,구현;수학,16,구현,1019 - 책 페이지
1020,디지털 카운터,다이나믹 프로그래밍,19,다이나믹 프로그래밍,1020 - 디지털 카운터
1021,회전하는 큐,자료 구조;덱,8,자료 구조,1021 - 회전하는 큐
1022,소용돌이 예쁘게 출력하기,구현;수학,13,수학,1022 - 소용돌이 예쁘게 출력하기
1023,괄호 문자열,조합론;다이나믹 프로그래밍;수학,18,수학,1023 - 괄호 문자열
1024,수열의 합,수학,9,수학,1024 - 수열의 합
1025,제곱수 찾기,브루트포스 알고리즘,11,탐색,1025 - 제곱수 찾기
1026,보물,그리디 알고리즘;수학;정렬,7,정렬,1026 - 보물
1027,고층 건물,브루트포스 알고리즘;기하학;수학,12,수학,1027 - 고층 건물
1028,다이아몬드 광산,다이나믹 프로그래밍;누적 합,16,정렬,1028 - 다이아몬드 광산
1029,그림 교환,비트마스킹;다이나믹 프로그래밍;비트필드를 이용한 다이나믹 프로그래밍,15,다이나믹 프로그래밍,1029 - 그림 교환
1030,프렉탈 평면,분할 정복;구현;재귀,13,구현,1030 - 프렉탈 평면
1031,스타 대결,최대 유량,21,다이나믹 프로그래밍,1031 - 스타 대결
1032,명령 프롬프트,구현;문자열,5,문자열,1032 - 명령 프롬프트
1033,칵테일,유클리드 호제법;그래프 이론;그래프 탐색;수학;정수론,14,수학,1033 - 칵테일
1034,램프,애드 혹;브루트포스 알고리즘,12,탐색,1034 - 램프
1035,조각 움직이기,너비 우선 탐색;비트마스킹;브루트포스 알고리즘;그래프 이론;그래프 탐색,15,그래프 이론,1035 - 조각 움직이기
1036,36진수,임의 정밀도 / 큰 수 연산;그리디 알고리즘;구현;수학;문자열,15,구현,1036 - 36진수
1037,약수,수학;정수론,5,수학,1037 - 약수
1038,감소하는 수,백트래킹;브루트포스 알고리즘,11,탐색,1038 - 감소하는 수
1039,교환,너비 우선 탐색;그래프 이론;그래프 탐색,14,그래프 이론,1039 - 교환
1040,정수,비트마스킹;다이나믹 프로그래밍;비트필드를 이용한 다이나믹 프로그래밍;그리디 알고리즘,19,다이나믹 프로그래밍,1040 - 정수
1041,주사위,그리디 알고리즘;수학,11,다이나믹 프로그래밍,1041 - 주사위
1042,움,다이나믹 프로그래밍;문자열,19,문자열,1042 - 움
1043,거짓말,자료 구조;분리 집합;그래프 이론;그래프 탐색,12,자료 구조,1043 - 거짓말
1044,팀 선발,비트마스킹;중간에서 만나기,18,구현,1044 - 팀 선발
1045,도로,그래프 이론;그리디 알고리즘;최소 스패닝 트리,15,그래프 이론,1045 - 도로
1046,그림자,기하학;구현;선분 교차 판정;스위핑,23,구현,1046 - 그림자
1047,울타리,브루트포스 알고리즘;그리디 알고리즘,16,다이나믹 프로그래밍,1047 - 울타리
1048,유니콘,다이나믹 프로그래밍;누적 합,17,다이나믹 프로그래밍,1048 - 유니콘
1049,기타줄,그리디 알고리즘;수학,7,다이나믹 프로그래밍,1049 - 기타줄
1050,물약,그래프 이론;파싱;문자열,16,그래프 이론,1050 - 물약
1051,숫자 정사각형,브루트포스 알고리즘;구현,8,구현,1051 - 숫자 정사각형
1052,물병,비트마스킹;그리디 알고리즘;수학,11,구현,1052 - 물병
1053,팰린드롬 공장,브루트포스 알고리즘;다이나믹 프로그래밍,15,탐색,1053 - 팰린드롬 공장
